Competicao;Mandante;Visitante;Resultado;Gestao;Gols_Pro;Gols_Contra;Status_Jogo
Campeonato Brasileiro Série A;São Paulo;Juventude;3:1;Julio Casares (2021-Presente);3;1;Vitória
Campeonato Brasileiro Série A;América-MG;São Paulo;2:0;Julio Casares (2021-Presente);0;2;Derrota
Campeonato Paulista;Guarani;São Paulo;2:1;Julio Casares (2021-Presente);1;2;Derrota
Campeonato Paulista;São Paulo;Ituano;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Paulista;Bragantino;São Paulo;4:3;Julio Casares (2021-Presente);3;4;Derrota
Campeonato Paulista;São Paulo;Santo André;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Paulista;Ponte Preta;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Paulista;São Paulo;Inter Limeira;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Paulista;Santos;São Paulo;0:3;Julio Casares (2021-Presente);3;0;Vitória
Copa do Brasil;Campinense;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Paulista;Água Santa;São Paulo;1:2;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Paulista;São Paulo;Corinthians;1:0;Julio Casares (2021-Presente);1;0;Vitória
Campeonato Paulista;São Paulo;Palmeiras;0:1;Julio Casares (2021-Presente);0;1;Derrota
Campeonato Paulista;Mirassol;São Paulo;0:3;Julio Casares (2021-Presente);3;0;Vitória
Copa do Brasil;São Paulo;Manaus;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Paulista;São Paulo;Botafogo-SP;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Paulista - Série A1 - Fase final;São Paulo;São Bernardo;4:1;Julio Casares (2021-Presente);4;1;Vitória
Campeonato Paulista - Série A1 - Fase final;São Paulo;Corinthians;2:1;Julio Casares (2021-Presente);2;1;Vitória
Campeonato Paulista - Série A1 - Fase final;São Paulo;Palmeiras;3:1;Julio Casares (2021-Presente);3;1;Vitória
Campeonato Paulista - Série A1 - Fase final;Palmeiras;São Paulo;4:0;Julio Casares (2021-Presente);0;4;Derrota
Copa Sul-Americana;Ayacucho FC;São Paulo;2:3;Julio Casares (2021-Presente);3;2;Vitória
Campeonato Brasileiro Série A;São Paulo;Athletico-PR;4:0;Julio Casares (2021-Presente);4;0;Vitória
Copa Sul-Americana;São Paulo;Everton;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;Flamengo;São Paulo;3:1;Julio Casares (2021-Presente);1;3;Derrota
Copa do Brasil;Juventude;São Paulo;2:2;Julio Casares (2021-Presente);2;2;Empate
Campeonato Brasileiro Série A;Bragantino;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Copa Sul-Americana;Wilstermann;São Paulo;1:3;Julio Casares (2021-Presente);3;1;Vitória
Campeonato Brasileiro Série A;São Paulo;Santos;2:1;Julio Casares (2021-Presente);2;1;Vitória
Copa Sul-Americana;Everton;São Paulo;0:0;Julio Casares (2021-Presente);0;0;Empate
Campeonato Brasileiro Série A;Fortaleza;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
Copa do Brasil;São Paulo;Juventude;2:0;Julio Casares (2021-Presente);2;0;Vitória
Campeonato Brasileiro Série A;São Paulo;Cuiabá;2:1;Julio Casares (2021-Presente);2;1;Vitória
Copa Sul-Americana;São Paulo;Wilstermann;3:0;Julio Casares (2021-Presente);3;0;Vitória
Campeonato Brasileiro Série A;Corinthians;São Paulo;1:1;Julio Casares (2021-Presente);1;1;Empate
